task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation A,2,MSAEA-DM,0.8291099411262929,0.08717372020699035,0.16443558576787715
unseen LCE formulation A,3,MSAEA-DM,0.8247648628013606,0.10445277113206591,0.13509364259739232
unseen LCE formulation A,4,MSAEA-DM,0.8217260241512618,0.08282816087662201,0.1287177345736426
unseen LCE formulation A,5,MSAEA-DM,0.8124168400383321,0.09938389842653074,0.1444544295698623
unseen LCE formulation A,6,MSAEA-DM,0.8343467288769998,0.1004964929791407,0.12413794082970707
unseen LCE formulation A,7,MSAEA-DM,0.817383416306248,0.09875932735209295,0.13456988722220167
unseen LCE formulation A,8,MSAEA-DM,0.8152909139599911,0.09123708747658822,0.15611246477564353
unseen LCE formulation A,9,MSAEA-DM,0.8247178688435287,0.08719102519595454,0.15446631406806619
unseen LCE formulation A,10,MSAEA-DM,0.8355035184476877,0.09272178873231952,0.14160377330210752
unseen LCE formulation A,11,MSAEA-DM,0.8208926077878788,0.0899343701328713,0.1392840349171181
unseen LCE formulation A,12,MSAEA-DM,0.829749246856609,0.08772299955139395,0.13928975034661895
unseen LCE formulation A,13,MSAEA-DM,0.8093911306523586,0.09371947133814582,0.14893444911741968
unseen LCE formulation A,14,MSAEA-DM,0.8240811613037652,0.08856066755247662,0.1402445841407019
unseen LCE formulation A,15,MSAEA-DM,0.8298044165538204,0.09417360997121489,0.1352998897163584
unseen LCE formulation A,16,MSAEA-DM,0.832910833250418,0.09406293851435917,0.15596724654796992
unseen LCE formulation A,17,MSAEA-DM,0.8486671771732054,0.0976296179352324,0.1351321094068404
unseen LCE formulation A,18,MSAEA-DM,0.8408159002434737,0.09246452190018271,0.16028563615856634
unseen LCE formulation A,19,MSAEA-DM,0.8236311570392612,0.09406656121908853,0.13109098039865916
unseen LCE formulation A,20,MSAEA-DM,0.8234768340390813,0.08000275049812144,0.14758244612777768
unseen LCE formulation A,1,AS-SMEA,0.8053464515308792,0.1025607741851369,0.1507824703806057
unseen LCE formulation A,2,AS-SMEA,0.80754888165016,0.09692874466598542,0.1483811046173133
unseen LCE formulation A,3,AS-SMEA,0.8265038880796421,0.10166615183352343,0.1444135250450421
unseen LCE formulation A,4,AS-SMEA,0.8199440614314245,0.09963418541272598,0.15116174759137155
unseen LCE formulation A,5,AS-SMEA,0.8167138119870205,0.10853137601485939,0.14505568352389514
unseen LCE formulation A,6,AS-SMEA,0.8206193087905144,0.10056997922923266,0.1578475531475603
unseen LCE formulation A,7,AS-SMEA,0.810609248932049,0.09184621120934874,0.15026817622037308
unseen LCE formulation A,8,AS-SMEA,0.8185724784204562,0.10508878184794959,0.1371937536820672
unseen LCE formulation A,9,AS-SMEA,0.7901379366312201,0.09923520263368382,0.14165155765970275
unseen LCE formulation A,10,AS-SMEA,0.811459608667927,0.09372157915491926,0.16631108246075443
unseen LCE formulation A,11,AS-SMEA,0.8034709559700519,0.09130439511657872,0.15518838654323788
unseen LCE formulation A,12,AS-SMEA,0.8040955394917496,0.10753619011763016,0.16373296056785294
unseen LCE formulation A,13,AS-SMEA,0.8132096849360388,0.10316402890062452,0.1581510339294863
