method,seed,HF_calls,normalized_HV,IGD_plus
Frank-WT MF-PIRN,20,90,0.9074837635774362,0.007597038322093747
Frank-WT MF-PIRN,20,100,0.9150794642636986,0.007116054987266193
Frank-WT MF-PIRN,20,110,0.9167694542855805,0.0057482559262831065
Frank-WT MF-PIRN,20,120,0.9230574915845169,0.005938671590820192
Frank-WT MF-PIRN,20,130,0.9293055952775117,0.004525399775011279
Frank-WT MF-PIRN,20,140,0.9316802782980114,0.005568300626324935
Frank-WT MF-PIRN,20,150,0.9333852974646076,0.004700096933933057
Frank-WT MF-PIRN,20,160,0.9332529764070828,0.0040429464573839965
Frank-WT MF-PIRN,20,170,0.9308645168606574,0.00476106509518226
Frank-WT MF-PIRN,20,180,0.9330015130506601,0.004836129639000549
Frank-WT MF-PIRN,20,190,0.9381747667651661,0.004188571510078119
Frank-WT MF-PIRN,20,200,0.932334220596667,0.003767200135820715
Frank-WT MF-PIRN,21,20,0.7150391478289949,0.0466130973480685
Frank-WT MF-PIRN,21,30,0.7672417549404448,0.034949942660784925
Frank-WT MF-PIRN,21,40,0.8067312353322075,0.025339794572699137
Frank-WT MF-PIRN,21,50,0.8450975129694394,0.01900449403520794
Frank-WT MF-PIRN,21,60,0.8628303001251806,0.014689911375645279
